dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag
14,2026-01-19 23:51:59,505,81374,What is Bae Geu-rin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.7625,,,1,1.0,0,0
15,2026-01-19 23:51:59,169,25692,What is Javier Alva Orlandini's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician and lawyer,0.92,,,1,1.0,0,0
16,2026-01-19 23:51:59,287843,11213,What is Edgar Allan Poe's occupation?,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]","Writer (author, poet, literary critic), also editor and journalist",0.9625,,,1,1.0,0,0
17,2026-01-19 23:51:59,48,25692,What is John Finlay's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.8,1,0
18,2026-01-19 23:51:59,370,25692,What is John Floyd's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.8,1,0
19,2026-01-19 23:51:59,115,81374,What is Sachiko Kokubu's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",Sachiko Kokubu is a Japanese actress and model.,0.7625,,,1,1.0,0,0
20,2026-01-19 23:51:59,2092,25692,What is Rudolf Hilferding's occupation?,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","Economist, socialist politician and finance minister (Austrian-born Marxist economist and prominent Social Democratic politician)",0.92,,,1,1.0,0,0
21,2026-01-19 23:51:59,285,25692,"What is Charles Strachey, 4th Baron O'Hagan's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","Peer and hereditary politician (member of the House of Lords), farmer/landowner",0.36,,,1,1.0,0,0
22,2026-01-19 23:51:59,2251,81374,What is Akari Hayami's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress and former singer (former member of the Japanese idol group Idoling!!!),0.84,,,1,1.0,0,0
23,2026-01-19 23:51:59,381,81374,What is Richard Martin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,,,0,0.8,1,0
24,2026-01-19 23:51:59,103,43223,"What is Harvey Peltier, Sr.'s occupation?","[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",American politician (Louisiana state senator),0.72,,,1,1.0,0,0
25,2026-01-19 23:51:59,126,81374,What is Paris's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",,,,,0,0.8,1,1
26,2026-01-19 23:51:59,112,12939,What is Fairfax M. Cone's occupation?,"[""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman""]",Advertising executive (advertiser and agency executive),0.8246,,,0,-1.0,0,1
27,2026-01-19 23:51:59,1718,81374,What is Colleen Zenk Pinter's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.98,,,1,1.0,0,0
28,2026-01-19 23:51:59,152,8320,What is Thomas McMurtry's occupation?,"[""test pilot""]",I don't know,,,,0,0.8,1,0
29,2026-01-19 23:51:59,322,43223,What is Albert Bates's occupation?,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers""]","Albert Bates is an author and environmental activist focused on permaculture, sustainable living, and climate/ecology issues; he is also the director of the Global Village Institute for Appropriate Technology and co-founder of the intentional community and skills center known as the The Farm (later involved with other sustainability projects).",0.58,,,0,-1.0,0,1
30,2026-01-19 23:51:59,1132,25550,What is Heath's occupation?,"[""songwriter"", ""song writer""]",,,,,0,0.8,1,1
31,2026-01-19 23:51:59,396,42844,What is Wise's occupation?,"[""record producer"", ""music producer""]",I don't know,,,,0,0.8,1,0
32,2026-01-19 23:51:59,792,24952,What is Stevie Cameron's occupation?,"[""journalist"", ""journo"", ""journalists""]",Canadian investigative journalist and author,0.8736,,,1,1.0,0,0
33,2026-01-19 23:51:59,996,7223,What is Yoshiki Tonogai's occupation?,"[""mangaka"", ""manga artist""]",Manga artist and illustrator,0.9184,,,1,1.0,0,0
34,2026-01-19 23:51:59,1085,8848,What is Geeling Ng's occupation?,"[""restaurateur"", ""gastronomist"", ""restauranteur""]",Actress and model,0.9,,,0,-1.0,0,1
35,2026-01-19 23:51:59,91,28389,What is Bruce McDaniel's occupation?,"[""composer""]",I don't know,,,,0,0.8,1,0
36,2026-01-19 23:51:59,162,25692,What is Thomas R. Whitney's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Thomas R. Whitney was a politician (U.S. Representative from New York).,0.3247,1,0.8,1,0
37,2026-01-19 23:51:59,503,28889,What is William Lescaze's occupation?,"[""architect""]",Architect,0.98,,,1,1.0,0,0
38,2026-01-19 23:51:59,68,81374,What is Edwin Wallock's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",American actor,0.7842,,,1,1.0,0,0
39,2026-01-19 23:51:59,195,12368,What is Tsutomu Seki's occupation?,"[""astronomer""]",Tsutomu Seki is a Japanese amateur astronomer and professional astronomer known as a prolific discoverer of comets and minor planets (astronomer).,0.65,,,1,1.0,0,0
40,2026-01-19 23:51:59,63,16672,What is Matthew McKay's occupation?,"[""dentist"", ""dentists"", ""dental surgeon""]","Psychologist, author, and educator",0.8625,,,0,-1.0,0,1
41,2026-01-19 23:51:59,97,7581,What is Dominick Bellizzi's occupation?,"[""jockey""]",I don't know,,,,0,0.8,1,0
42,2026-01-19 23:51:59,510,48188,What is William Watson's occupation?,"[""physician"", ""physicians"", ""medical doctor"", ""medical practitioner"", ""doctor"", ""medical doctors""]",,,,,0,0.8,1,1
43,2026-01-19 23:51:59,766,25550,What is Sarah Dawn Finer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""songwriter"", ""song writer""]","She is a singer, songwriter and actress (also a musical theatre performer and television presenter).",0.84,,,1,1.0,0,0
44,2026-01-19 23:51:59,2680,20148,What is Brendan Canty's occupation?,"[""composer"", ""musician"", ""musical artist""]","Musician (drummer), composer, and record producer",0.8125,,,1,1.0,0,0
45,2026-01-19 23:51:59,839,81374,What is María Elena Marqués's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.86,,,1,1.0,0,0
46,2026-01-19 23:51:59,1131,28889,What is Michael Arad's occupation?,"[""architect""]",Architect,0.958,,,1,1.0,0,0
47,2026-01-19 23:51:59,923,81374,What is Patrick O'Brien Demsey's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",He is an American actor.,0.4333,,,1,1.0,0,0
48,2026-01-19 23:51:59,61,25692,What is Ole Krarup's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",He was a Danish politician and former Member of the European Parliament (MEP).,0.92,,,1,1.0,0,0
49,2026-01-19 23:51:59,75,28389,What is Antonio Álvarez Alonso's occupation?,"[""composer"", ""pianist""]",Composer and pianist,0.842,,,1,1.0,0,0
50,2026-01-19 23:51:59,57,24952,What is Boutheina Jabnoun's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Politician,0.25,0,0.8,1,0
51,2026-01-19 23:51:59,1072,81374,What is Robert Viharo's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.9367,,,1,1.0,0,0
52,2026-01-19 23:51:59,1494,81374,What is Ankita Sharma's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Actress and model,0.31,1,0.8,1,0
53,2026-01-19 23:51:59,31792,6776,What is Robby Krieger's occupation?,"[""guitarist"", ""guitar player"", ""guitarists""]","Musician (guitarist, songwriter)",0.9487,,,1,1.0,0,0
54,2026-01-19 23:51:59,135900,20559,What is Paul's occupation?,"[""missionary"", ""Christian missionary""]",,,,,0,0.8,1,1
55,2026-01-19 23:51:59,206,25692,What is Shozaburo Nakamura's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.8,1,0
56,2026-01-19 23:51:59,1419,25550,What is Esquerita's occupation?,"[""pianist"", ""songwriter"", ""song writer""]","Singer, songwriter, and pianist (rock and roll/R&B performer)",0.8421,,,1,1.0,0,0
57,2026-01-19 23:51:59,43,11157,What is Derek Wheatley's occupation?,"[""novelist"", ""barrister"", ""barrister-at-law"", ""Bar-at-law""]",I don't know,,Derek Wheatley is a British barrister and legal author.,0.25,1,0.8,1,0
58,2026-01-19 23:51:59,86,12671,What is Herman A. Barnett's occupation?,"[""surgeon"", ""surgeons""]",Herman A. Barnett was an American physician (surgeon) — he was one of the first African American physicians serving as a surgeon in the U.S. Army Air Forces/physician in Texas.,0.65,,,1,1.0,0,0
59,2026-01-19 23:51:59,51,14886,What is Modou Dia's occupation?,"[""diplomat"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.8,1,0
60,2026-01-19 23:51:59,261,25692,What is Alex Krieps's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Alex Krieps is a Luxembourgish politician; he served as a member of the Chamber of Deputies and held roles in government (Democratic Party politician).,0.67,,,1,1.0,0,0
61,2026-01-19 23:51:59,5119,16182,What is Veronica Franco's occupation?,"[""poet"", ""poetess"", ""bard""]",Poet and courtesan,0.82,,,1,1.0,0,0
62,2026-01-19 23:51:59,138,24952,What is Maev-Ann Wren's occupation?,"[""journalist"", ""journo"", ""journalists""]",Health economist and public policy researcher (specifically a health economist and academic/lecturer),0.644,,,0,-1.0,0,1
63,2026-01-19 23:51:59,123,25692,"What is Norman Crowther Hunt, Baron Crowther-Hunt's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (British Labour Party politician and life peer; government minister and academic administrator),0.8346,,,1,1.0,0,0
64,2026-01-19 23:51:59,547,26129,What is Vincenzo Di Nicola's occupation?,"[""psychiatrist"", ""alienist"", ""head-shrinker"", ""shrinker"", ""psychologist"", ""psychologists""]","Vincenzo Di Nicola is a psychiatrist, psychologist, and author—an academic clinician who works as a psychiatrist and professor specializing in psychiatry, psychology, and family therapy.",0.4167,,,1,1.0,0,0
65,2026-01-19 23:51:59,264,28389,What is Tor Aulin's occupation?,"[""composer""]","Violinist, conductor and composer",0.8437,,,1,1.0,0,0
66,2026-01-19 23:51:59,1126,11827,What is Henry Tizard's occupation?,"[""chemist"", ""chemists""]","He was a British chemist and inventor, a university professor and government scientist — best known as a scientific administrator and leader (scientist and research administrator).",0.82,,,1,1.0,0,0
67,2026-01-19 23:51:59,631,25747,What is Glenn Albrecht's occupation?,"[""philosopher""]","Environmental philosopher and academic (professor/researcher in environmental studies; known for coining ""solastalgia"")",0.8725,,,1,1.0,0,0
68,2026-01-19 23:51:59,326,25692,What is Thomas Hinds's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Thomas Hinds was a U.S. Army officer (military officer) and politician.,0.4032,1,0.8,1,0
69,2026-01-19 23:51:59,2322,26544,What is Tobias Lindholm's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]","Screenwriter and film director (Danish screenwriter, director, and playwright)",0.9123,,,1,1.0,0,0
70,2026-01-19 23:51:59,1028,24952,What is Lisa McRee's occupation?,"[""journalist"", ""journo"", ""journalists""]",Lisa McRee is an American television news journalist and anchor.,0.91,,,1,1.0,0,0
71,2026-01-19 23:51:59,156,12806,What is Rick Gilmore's occupation?,"[""economist"", ""economists""]",I don't know,,,,0,0.8,1,0
72,2026-01-19 23:51:59,75,81374,What is Jon Eikemo's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Norwegian actor,0.9043,,,1,1.0,0,0
73,2026-01-19 23:51:59,3857,24952,What is Jilly Cooper's occupation?,"[""journalist"", ""journo"", ""journalists"", ""novelist""]",Novelist (author),0.972,,,1,1.0,0,0
74,2026-01-19 23:51:59,885,81374,What is Ingrid Martinez's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,,,0,0.8,1,0
75,2026-01-19 23:51:59,16203,42844,What is Teddy Riley's occupation?,"[""record producer"", ""music producer"", ""singer-songwriter"", ""singer songwriter"", ""singer/songwriter"", ""singersongwriter"", ""singer-songwriter""]","Record producer, singer, songwriter, and musician (notably a pioneering R&B/hip-hop producer and creator of New Jack Swing)",0.932,,,1,1.0,0,0
76,2026-01-19 23:51:59,2206,81374,What is Gillian Raine's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.85,,,1,1.0,0,0
77,2026-01-19 23:51:59,1244,28389,What is Tolis Voskopoulos's occupation?,"[""composer""]","Greek singer, actor, and songwriter",0.86,,,0,-1.0,0,1
78,2026-01-19 23:51:59,74,25692,What is Marco Ameglio's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.88,,,1,1.0,0,0
79,2026-01-19 23:51:59,312,25692,What is Mohd Sharkar Shamsudin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.8,1,0
80,2026-01-19 23:51:59,2491,81374,What is Anthony Sharp's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I don't know,,Actor,0.25,1,0.8,1,0
81,2026-01-19 23:51:59,73,25692,What is Valgerður Bjarnadóttir's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Politician,0.4321,1,0.8,1,0
82,2026-01-19 23:51:59,100,1565,What is Wallace Dollase's occupation?,"[""horse trainer"", ""racehorse trainer""]",I don't know,,Wallace Dollase is a horse trainer (Thoroughbred racehorse trainer).,0.35,1,0.8,1,0
83,2026-01-19 23:51:59,622,24952,What is Claire Berlinski's occupation?,"[""journalist"", ""journo"", ""journalists""]","Claire Berlinski is an American journalist and author (writer), known for journalism, foreign correspondence, and nonfiction and fiction books.",0.87,,,1,1.0,0,0
84,2026-01-19 23:51:59,77049,11244,What is James Cook's occupation?,"[""sailor"", ""seaman"", ""mariner"", ""seafarer"", ""merchant sailor"", ""merchant seaman"", ""merchant mariner""]","Explorer, navigator and cartographer (British Royal Navy officer)",0.88,,,0,-1.0,0,1
85,2026-01-19 23:51:59,84,25692,What is Russell Stokes's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.8,1,0
86,2026-01-19 23:51:59,139,25692,What is Henk Bleker's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","Henk Bleker is a Dutch politician and member of the Christian Democratic Appeal (CDA); he has served as State Secretary for Economic Affairs, Agriculture and Innovation (i.e., a government minister-level official) and is a former civil servant and politician.",0.752,,,1,1.0,0,0
87,2026-01-19 23:51:59,98,5737,What is Jim Brown's occupation?,"[""radio personality"", ""radio presenter"", ""radio hostess"", ""host"", ""hostess"", ""radio host"", ""radio jockey"", ""radio program boss"", ""RJ""]",I don't know,,Jim Brown is a former professional American football player (NFL running back) and later an actor and civil-rights activist.,0.4321,0,0.8,1,0
88,2026-01-19 23:51:59,1397,5062,What is Christoph Schlingensief's occupation?,"[""theatrical director"", ""stage director"", ""theatre director"", ""play director"", ""director"", ""theater director""]","Filmmaker (theatre and film director), actor, and artist",0.9123,,,1,1.0,0,0
89,2026-01-19 23:51:59,2107,11213,What is C. E. Webber's occupation?,"[""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter""]",I don't know,,Television and radio scriptwriter (writer),0.42,1,0.8,1,0
90,2026-01-19 23:51:59,2793,25692,What is Gladwyn Jebb's occupation?,"[""diplomat"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","British diplomat and civil servant; he was also the acting Secretary-General of the United Nations (served as Acting UN Secretary-General, and later a long-serving diplomat and politician).",0.7523,,,1,1.0,0,0
91,2026-01-19 23:51:59,1334,25692,What is Dean Alfange's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.82,,,1,1.0,0,0
92,2026-01-19 23:51:59,194634,42844,"What is Tyler, the Creator's occupation?","[""record producer"", ""music producer"", ""actor"", ""actress"", ""actors"", ""actresses"", ""graphic designer""]","Rapper, record producer, songwriter, music video director, and fashion designer (primarily known as a musician/rapper)",0.91,,,1,1.0,0,0
93,2026-01-19 23:51:59,66,10855,What is Edwin E. Ellis's occupation?,"[""photographer"", ""photog"", ""photographers""]",I don't know,,Photographer and inventor,0.25,1,0.8,1,0
94,2026-01-19 23:51:59,94,24952,What is Muhammad Ali Luqman's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Muhammad Ali Luqman is a politician.,0.25,0,0.8,1,0
95,2026-01-19 23:51:59,84,26544,What is Ivo Perilli's occupation?,"[""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]",Screenwriter,0.85,,,1,1.0,0,0
96,2026-01-19 23:51:59,580,81374,What is Nathan Purdee's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.9375,,,1,1.0,0,0
97,2026-01-19 23:51:59,1098,9714,What is Joseph Weydemeyer's occupation?,"[""journalist"", ""journo"", ""journalists"", ""revolutionary"", ""insurrectionist"", ""revolutionist"", ""revolutioner""]",Journalist and socialist political activist (also a Marxist writer and publicist),0.8625,,,1,1.0,0,0
98,2026-01-19 23:51:59,994,16182,What is Ai's occupation?,"[""poet"", ""poetess"", ""bard""]",,,,,0,0.8,1,1
99,2026-01-19 23:51:59,62,28389,What is Rinaldo del Mel's occupation?,"[""composer""]",Rinaldo del Mel was a Renaissance composer (choirmaster and music teacher).,0.8823,,,1,1.0,0,0
100,2026-01-19 23:51:59,353,25692,"What is Francis Howard, 5th Baron Howard of Effingham's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.8,1,0
101,2026-01-19 23:51:59,109,25692,What is Luís Marques Guedes's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Portuguese politician (he has served as a government minister and member of the Assembly of the Republic),0.89,,,1,1.0,0,0
102,2026-01-19 23:51:59,815,14886,What is Nigel Sheinwald's occupation?,"[""diplomat""]",Diplomat (British diplomat; former UK Ambassador to the United States and Foreign Policy Adviser),0.93,,,1,1.0,0,0
103,2026-01-19 23:51:59,2195,81374,What is Ge You's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Ge You is an actor.,0.96,,,1,1.0,0,0
104,2026-01-19 23:51:59,33,25692,What is Annie Beustes's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Annie Beustes is a journalist,0.245,0,0.8,1,0
105,2026-01-19 23:51:59,72,11213,What is Kazuyoshi Sekine's occupation?,"[""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter""]",Film director (Japanese film director),0.872,,,0,-1.0,0,1
106,2026-01-19 23:51:59,1312,81374,What is Elisa Bridges's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""Playboy Playmate"", ""Playmate""]",Model and actress (adult film actress/softcore model),0.642,,,1,1.0,0,0
107,2026-01-19 23:51:59,47,25692,What is Domingo Eyzaguirre's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician and businessman (Chilean philanthropist and politician),0.63,,,1,1.0,0,0
108,2026-01-19 23:51:59,154,17531,What is Karol Życzkowski's occupation?,"[""physicist"", ""mathematician""]",Physicist and mathematician (theoretical physicist / mathematical physicist),0.92,,,1,1.0,0,0
109,2026-01-19 23:51:59,2104,81374,What is Joyce Tang's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.88,,,1,1.0,0,0
110,2026-01-19 23:51:59,370,11213,What is Suzanne Lilar's occupation?,"[""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter""]","She was a Belgian novelist, essayist and playwright (writer).",0.8725,,,1,1.0,0,0
111,2026-01-19 23:51:59,227,25692,What is Karen Redman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Canadian politician (former Member of Parliament and former mayor),0.8725,,,1,1.0,0,0
112,2026-01-19 23:51:59,303,28389,What is Jean-Yves Daniel-Lesur's occupation?,"[""composer"", ""organist"", ""organ player""]",French composer and organist,0.92,,,1,1.0,0,0
113,2026-01-19 23:51:59,145,23111,What is Eduard Looijenga's occupation?,"[""mathematician""]",Mathematician,0.94,,,1,1.0,0,0
114,2026-01-19 23:51:59,744,48188,What is Petrus Camper's occupation?,"[""physician"", ""physicians"", ""medical doctor"", ""medical practitioner"", ""doctor"", ""medical doctors""]","Dutch anatomist, physician, and naturalist (also known as an 18th-century anatomist and paleontologist who studied comparative anatomy)",0.84,,,1,1.0,0,0
115,2026-01-19 23:51:59,51,25692,What is Charles Harrison's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Charles Harrison is an art historian (professor and curator),0.15,0,0.8,1,0
116,2026-01-19 23:51:59,179,81374,What is Pathit Pisitkul's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor and singer,0.62,,,1,1.0,0,0
117,2026-01-19 23:51:59,112,28389,What is Jacopo Melani's occupation?,"[""composer""]",I don't know,,Composer and violinist (Italian Baroque composer),0.4321,1,0.8,1,0
118,2026-01-19 23:51:59,258,25692,What is Jeremiah Smith's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,"Jeremiah Smith is a fictional character who serves as a judge (or magistrate) — specifically, Judge Jeremiah Smith from some works of fiction.",0.35,0,0.8,1,0
119,2026-01-19 23:51:59,80,28389,What is Richard Harris's occupation?,"[""composer""]","Richard Harris was an actor, singer, and songwriter (Irish actor, singer and film star).",0.89,,,0,-1.0,0,1
120,2026-01-19 23:51:59,369,25692,What is Peter W. Barca's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.8734,,,1,1.0,0,0
121,2026-01-19 23:51:59,553,25692,"What is Harold Lever, Baron Lever of Manchester's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",He was a British politician (a Labour Member of Parliament and life peer — lawyer by profession).,0.9375,,,1,1.0,0,0
122,2026-01-19 23:51:59,24,25692,What is Peter Murnoy's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.8,1,0
123,2026-01-19 23:51:59,961,6538,What is Spencer Williams's occupation?,"[""composer"", ""pianist""]","Actor, director, screenwriter, and film producer (American film actor and filmmaker)",0.8642,,,0,-1.0,0,1
124,2026-01-19 23:51:59,1047,24952,What is Richard Lui's occupation?,"[""journalist"", ""journo"", ""journalists""]",Richard Lui is a journalist and news anchor (television news anchor and correspondent).,0.91,,,1,1.0,0,0
125,2026-01-19 23:51:59,285,81374,What is Charlotte von Hagn's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",German actress,0.6223,,,1,1.0,0,0
126,2026-01-19 23:51:59,66,25692,What is James M. Geraghty's occupation?,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,,,0,0.8,1,0
127,2026-01-19 23:51:59,60,24351,What is Michael Hutchings's occupation?,"[""chef"", ""chef de cuisine""]",I don't know,,Michael Hutchings is a chef (professional chef/restaurateur),0.3725,1,0.8,1,0
128,2026-01-19 23:51:59,110,25692,What is Gideon Olin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (United States Representative from Vermont),0.8567,,,1,1.0,0,0
129,2026-01-19 23:51:59,685,6987,What is Cecil Aldin's occupation?,"[""illustrator""]",Cecil Aldin was a painter and illustrator (British artist known for animal and sporting subjects).,0.8745,,,1,1.0,0,0
130,2026-01-19 23:51:59,15171,81374,What is Malcolm David Kelley's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor and singer,0.8745,,,1,1.0,0,0
131,2026-01-19 23:51:59,87,25692,What is James Alex Msekela's occupation?,"[""diplomat"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",James Alex Msekela is a Tanzanian politician and diplomat; he has served as an ambassador (former Regional Commissioner and Member of Parliament).,0.48,,,1,1.0,0,0
132,2026-01-19 23:51:59,3184,25692,What is Nancy Landon Kassebaum's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Former U.S. Senator (politician),0.98,,,1,1.0,0,0
