dataset_id,timestamp,s_pop,o_pop,question,possible_answers,answer,confidence,correct,score,false_answer_flag,idk_flag
10,2026-01-01 17:01:22,88,24952,What is Herlyn Espinal's occupation?,"[""journalist"", ""journo"", ""journalists""]",Footballer (professional soccer player),0.68,0,0,1,0
11,2026-01-01 17:01:24,230,81374,What is Jacob Kraemer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.7,1,1,0,0
12,2026-01-01 17:01:25,461,45772,What is Fred C. Newmeyer's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]","Film director (and actor, film editor, and producer)",0.72,1,1,0,0
13,2026-01-01 17:01:26,74,25692,What is Edward Corser's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (Australian businessman and member of the Australian House of Representatives),0.62,1,1,0,0
14,2026-01-01 17:01:28,505,81374,What is Bae Geu-rin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.6312,1,1,0,0
15,2026-01-01 17:01:30,169,25692,What is Javier Alva Orlandini's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (Peruvian lawyer and politician; he served as Vice President and President of the Senate),0.88,1,1,0,0
16,2026-01-01 17:01:32,287843,11213,What is Edgar Allan Poe's occupation?,"[""journalist"", ""journo"", ""journalists"", ""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter"", ""poet"", ""poetess"", ""bard""]","Edgar Allan Poe was an American writer, poet, editor, and literary critic (best known as a writer of poetry and short stories, particularly in the genres of mystery and macabre).",0.99,1,1,0,0
17,2026-01-01 17:01:34,48,25692,What is John Finlay's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","I’m not sure which John Finlay you mean—there are multiple notable people named John Finlay with different occupations (e.g., a Canadian politician, a British poet, an Irish footballer, etc.). Please specify which John Finlay or provide context (such as birth year, nationality, or field) so I can give the correct occupation.",0.25,1,1,0,1
18,2026-01-01 17:01:37,370,25692,What is John Floyd's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","I don’t have enough context to determine which John Floyd you mean; there are multiple notable people named John Floyd with different occupations (e.g., American politician, U.S. Representative, university professor, musician). Please provide more details (such as birth year, nationality, or context) so I can give the correct occupation.",0.2,1,1,0,1
19,2026-01-01 17:01:39,115,81374,What is Sachiko Kokubu's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""model"", ""fashion model"", ""sitter"", ""poser""]",Actress and fashion model,0.7523,1,1,0,0
20,2026-01-01 17:01:40,2092,25692,What is Rudolf Hilferding's occupation?,"[""economist"", ""economists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","Economist, politician, and Marxist theorist (Austro-German social democratic economist and politician)",0.94,1,1,0,0
21,2026-01-01 17:01:42,285,25692,"What is Charles Strachey, 4th Baron O'Hagan's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","Charles Strachey, 4th Baron O'Hagan is a British peer and businessman (he has worked as a film producer and in business roles).",0.4937,0,0,1,0
22,2026-01-01 17:01:44,2251,81374,What is Akari Hayami's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress and former singer (formerly a member of the idol group Momoiro Clover),0.79,1,1,0,0
23,2026-01-01 17:01:46,381,81374,What is Richard Martin's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]","I don’t have enough context to determine which Richard Martin you mean. There are multiple notable people named Richard Martin (for example: Richard Martin the British animal rights activist and politician, Richard Martin the American actor, Richard H. Martin the botanist, etc.). Please specify which Richard Martin (e.g., a birth year, nationality, field, or a notable work) so I can give the correct occupation.",0.25,1,1,0,1
24,2026-01-01 17:01:47,103,43223,"What is Harvey Peltier, Sr.'s occupation?","[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (Louisiana state senator and political leader),0.7923,1,1,0,0
25,2026-01-01 17:01:49,126,81374,What is Paris's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Paris is a prince of Troy (a Trojan prince).,0.9175,0,0,1,0
26,2026-01-01 17:01:50,112,12939,What is Fairfax M. Cone's occupation?,"[""businessperson"", ""business person"", ""dealer"", ""businesswoman"", ""business man"", ""business woman"", ""businessman""]",Advertising executive,0.82,0,0,1,0
27,2026-01-01 17:01:52,1718,81374,What is Colleen Zenk Pinter's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.982,1,1,0,0
28,2026-01-01 17:01:53,152,8320,What is Thomas McMurtry's occupation?,"[""test pilot""]",Test pilot and former NASA research pilot (aircraft test pilot),0.97,1,1,0,0
29,2026-01-01 17:01:55,322,43223,What is Albert Bates's occupation?,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers""]","I am not certain which Albert Bates you mean, as there are multiple people by that name. Two notable individuals are:",0.3125,0,0,1,1
30,2026-01-01 17:01:57,1132,25550,What is Heath's occupation?,"[""songwriter"", ""song writer""]","I don't have enough information to determine which ""Heath"" you mean—please provide more context (e.g., full name or source).",0.25,0,0,1,1
31,2026-01-01 17:01:59,396,42844,What is Wise's occupation?,"[""record producer"", ""music producer""]","I don't have enough information to determine which ""Wise"" you're referring to. Could you specify who Wise is (e.g., full name or context)?",0.25,0,0,1,1
32,2026-01-01 17:02:00,792,24952,What is Stevie Cameron's occupation?,"[""journalist"", ""journo"", ""journalists""]",Investigative journalist and author,0.9,1,1,0,0
33,2026-01-01 17:02:02,996,7223,What is Yoshiki Tonogai's occupation?,"[""mangaka"", ""manga artist""]",Manga artist (manga artist and illustrator; also character designer),0.82,1,1,0,0
34,2026-01-01 17:02:03,1085,8848,What is Geeling Ng's occupation?,"[""restaurateur"", ""gastronomist"", ""restauranteur""]",Geeling Ng is a New Zealand model and actress.,0.756,0,0,1,0
35,2026-01-01 17:02:04,91,28389,What is Bruce McDaniel's occupation?,"[""composer""]","Musician (guitarist, songwriter, and record producer)",0.1234,0,0,1,0
36,2026-01-01 17:02:06,162,25692,What is Thomas R. Whitney's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (U.S. Congressman),0.54,1,1,0,0
37,2026-01-01 17:02:07,503,28889,What is William Lescaze's occupation?,"[""architect""]",Architect,0.98,1,1,0,0
38,2026-01-01 17:02:08,68,81374,What is Edwin Wallock's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.75,1,1,0,0
39,2026-01-01 17:02:09,195,12368,What is Tsutomu Seki's occupation?,"[""astronomer""]",Astronomer,0.98,1,1,0,0
40,2026-01-01 17:02:11,63,16672,What is Matthew McKay's occupation?,"[""dentist"", ""dentists"", ""dental surgeon""]","Psychologist (clinical psychologist), author, and co-founder of New Harbinger Publications",0.8846,0,0,1,0
41,2026-01-01 17:02:13,97,7581,What is Dominick Bellizzi's occupation?,"[""jockey""]",American jockey (horse racing jockey),0.61,1,1,0,0
42,2026-01-01 17:02:15,510,48188,What is William Watson's occupation?,"[""physician"", ""physicians"", ""medical doctor"", ""medical practitioner"", ""doctor"", ""medical doctors""]","I don’t have enough information to determine which William Watson you mean. There are many people named William Watson (e.g., poets, physicians, politicians, athletes, scientists). Please provide more context (dates, nationality, or field) so I can answer precisely.",0.25,1,1,0,1
43,2026-01-01 17:02:16,766,25550,What is Sarah Dawn Finer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""songwriter"", ""song writer""]","Singer, songwriter, and actress (also known as a presenter and author)",0.7945,1,1,0,0
44,2026-01-01 17:02:18,2680,20148,What is Brendan Canty's occupation?,"[""composer"", ""musician"", ""musical artist""]","Brendan Canty is a musician (drummer), composer and record producer — best known as the drummer for the rock band Fugazi.",0.94,1,1,0,0
45,2026-01-01 17:02:20,839,81374,What is María Elena Marqués's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.9,1,1,0,0
46,2026-01-01 17:02:21,1131,28889,What is Michael Arad's occupation?,"[""architect""]",Architect,0.7932,1,1,0,0
47,2026-01-01 17:02:22,923,81374,What is Patrick O'Brien Demsey's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.8165,1,1,0,0
48,2026-01-01 17:08:48,61,25692,What is Ole Krarup's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (Danish politician; former Member of the European Parliament),0.92,1,1,0,0
49,2026-01-01 17:08:49,75,28389,What is Antonio Álvarez Alonso's occupation?,"[""composer"", ""pianist""]",Composer,0.8276,1,1,0,0
50,2026-01-01 17:08:51,57,24952,What is Boutheina Jabnoun's occupation?,"[""journalist"", ""journo"", ""journalists""]","Boutheina Jabnoun is a politician (Tunisian politician, member of the Assembly of the Representatives of the People).",0.65,0,0,1,0
51,2026-01-01 17:08:53,1072,81374,What is Robert Viharo's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.8375,1,1,0,0
52,2026-01-01 17:08:54,1494,81374,What is Ankita Sharma's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress and model,0.54,1,1,0,0
53,2026-01-01 17:08:56,31792,6776,What is Robby Krieger's occupation?,"[""guitarist"", ""guitar player"", ""guitarists""]","Guitarist (musician, songwriter)",0.82,1,1,0,0
54,2026-01-01 17:08:57,135900,20559,What is Paul's occupation?,"[""missionary"", ""Christian missionary""]",I don't have enough information to determine Paul's occupation.,0.25,0,0,1,1
55,2026-01-01 17:08:59,206,25692,What is Shozaburo Nakamura's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Film producer,0.87,0,0,1,0
56,2026-01-01 17:09:00,1419,25550,What is Esquerita's occupation?,"[""pianist"", ""songwriter"", ""song writer""]","Singer, songwriter, and pianist",0.8889,1,1,0,0
57,2026-01-01 17:09:02,43,11157,What is Derek Wheatley's occupation?,"[""novelist"", ""barrister"", ""barrister-at-law"", ""Bar-at-law""]","I don't know which Derek Wheatley you mean; there are multiple people with that name. Could you provide more context (e.g., country, field, or a link)?",0.0975,0,0,1,1
58,2026-01-01 17:09:03,86,12671,What is Herman A. Barnett's occupation?,"[""surgeon"", ""surgeons""]","Physician (medical doctor, surgeon — specifically a pioneering African American physician)",0.52,1,1,0,0
59,2026-01-01 17:09:04,51,14886,What is Modou Dia's occupation?,"[""diplomat"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician and diplomat,0.6,1,1,0,0
60,2026-01-01 17:09:06,261,25692,What is Alex Krieps's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (Luxembourgish politician),0.905,1,1,0,0
61,2026-01-01 17:09:07,5119,16182,What is Veronica Franco's occupation?,"[""poet"", ""poetess"", ""bard""]",Poet and courtesan,0.94,1,1,0,0
62,2026-01-01 17:09:09,138,24952,What is Maev-Ann Wren's occupation?,"[""journalist"", ""journo"", ""journalists""]",Health economist and senior analyst / health policy researcher,0.64,0,0,1,0
63,2026-01-01 17:09:10,123,25692,"What is Norman Crowther Hunt, Baron Crowther-Hunt's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","He was a British politician and academic (Labour Party politician, government minister, and academic public servant).",0.7071,1,1,0,0
64,2026-01-01 17:09:12,547,26129,What is Vincenzo Di Nicola's occupation?,"[""psychiatrist"", ""alienist"", ""head-shrinker"", ""shrinker"", ""psychologist"", ""psychologists""]","Psychologist, psychiatrist, author, and professor (clinical psychologist and psychiatrist; also a family therapist and academic)",0.52,1,1,0,0
65,2026-01-01 17:09:14,264,28389,What is Tor Aulin's occupation?,"[""composer""]","Violinist, conductor, and composer",0.74,1,1,0,0
66,2026-01-01 17:09:15,1126,11827,What is Henry Tizard's occupation?,"[""chemist"", ""chemists""]","Scientist (British chemist and inventor; a prominent scientist and inventor involved in aeronautics and radar development — often referred to as Sir Henry Tizard, a British chemist and scientific administrator)",0.81,1,1,0,0
67,2026-01-01 17:09:18,631,25747,What is Glenn Albrecht's occupation?,"[""philosopher""]","Glenn Albrecht is an Australian philosopher and academic (environmental philosopher, social scientist, and writer) — he is a professor and researcher in environmental humanities/psychology.",0.8275,1,1,0,0
68,2026-01-01 17:09:19,326,25692,What is Thomas Hinds's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Military officer (American army officer) and politician,0.1923,1,1,0,0
69,2026-01-01 17:09:21,2322,26544,What is Tobias Lindholm's occupation?,"[""film director"", ""movie director"", ""director"", ""motion picture director"", ""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]","Danish screenwriter and director (film and television), and playwright; he is also a producer and editor on some projects.",0.8923,1,1,0,0
70,2026-01-01 17:09:23,1028,24952,What is Lisa McRee's occupation?,"[""journalist"", ""journo"", ""journalists""]",Television news anchor and journalist,0.875,1,1,0,0
71,2026-01-01 17:09:24,156,12806,What is Rick Gilmore's occupation?,"[""economist"", ""economists""]",Rick Gilmore is a businessman (specifically a restaurateur/restaurant owner and entrepreneur).,0.49,0,0,1,0
72,2026-01-01 17:09:26,75,81374,What is Jon Eikemo's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.87,1,1,0,0
73,2026-01-01 17:09:27,3857,24952,What is Jilly Cooper's occupation?,"[""journalist"", ""journo"", ""journalists"", ""novelist""]",Author (novelist),0.98,1,1,0,0
74,2026-01-01 17:09:29,885,81374,What is Ingrid Martinez's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]","I don’t have enough information to determine which Ingrid Martinez you mean; there are multiple people by that name. Please provide more context (e.g., a field, location, or a link) so I can answer.",0.21,0,0,1,1
75,2026-01-01 17:09:31,16203,42844,What is Teddy Riley's occupation?,"[""record producer"", ""music producer"", ""singer-songwriter"", ""singer songwriter"", ""singer/songwriter"", ""singersongwriter"", ""singer-songwriter""]","Record producer, singer, songwriter, and musician (notably a pioneer of new jack swing)",0.974,1,1,0,0
76,2026-01-01 17:09:32,2206,81374,What is Gillian Raine's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.7062,1,1,0,0
77,2026-01-01 17:09:33,1244,28389,What is Tolis Voskopoulos's occupation?,"[""composer""]","Singer, actor and composer",0.8765,1,1,0,0
78,2026-01-01 17:09:35,74,25692,What is Marco Ameglio's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.65,1,1,0,0
79,2026-01-01 17:09:36,312,25692,What is Mohd Sharkar Shamsudin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.84,1,1,0,0
80,2026-01-01 17:09:37,2491,81374,What is Anthony Sharp's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.32,1,1,0,0
81,2026-01-01 17:09:39,73,25692,What is Valgerður Bjarnadóttir's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.68,1,1,0,0
82,2026-01-01 17:09:40,100,1565,What is Wallace Dollase's occupation?,"[""horse trainer"", ""racehorse trainer""]",Wallace Dollase is a racehorse trainer.,0.7812,1,1,0,0
83,2026-01-01 17:09:42,622,24952,What is Claire Berlinski's occupation?,"[""journalist"", ""journo"", ""journalists""]",Writer and journalist,0.82,1,1,0,0
84,2026-01-01 17:09:43,77049,11244,What is James Cook's occupation?,"[""sailor"", ""seaman"", ""mariner"", ""seafarer"", ""merchant sailor"", ""merchant seaman"", ""merchant mariner""]",Explorer (British Royal Navy officer and cartographer),0.8775,0,0,1,0
85,2026-01-01 17:09:44,84,25692,What is Russell Stokes's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Business executive (Chairman and CEO of Stokes Holdings / businessman),0.36,0,0,1,0
86,2026-01-01 17:09:45,139,25692,What is Henk Bleker's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.905,1,1,0,0
87,2026-01-01 17:09:47,98,5737,What is Jim Brown's occupation?,"[""radio personality"", ""radio presenter"", ""radio hostess"", ""host"", ""hostess"", ""radio host"", ""radio jockey"", ""radio program boss"", ""RJ""]","I don't have enough information to determine which Jim Brown you mean; there are multiple notable people named Jim Brown (e.g., the American football player and actor, a musician, etc.). Please specify which Jim Brown you are asking about (or provide context such as profession, birthdate, or a related work) and I will answer.",0.09,0,0,1,1
88,2026-01-01 17:09:49,1397,5062,What is Christoph Schlingensief's occupation?,"[""theatrical director"", ""stage director"", ""theatre director"", ""play director"", ""director"", ""theater director""]","Christoph Schlingensief was a German film and theatre director, actor, and artist (also known as a filmmaker, theatre director, and performance artist).",0.94,1,1,0,0
89,2026-01-01 17:09:51,2107,11213,What is C. E. Webber's occupation?,"[""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter""]",Television scriptwriter (screenwriter) and playwright,0.54,1,1,0,0
90,2026-01-01 17:09:52,2793,25692,What is Gladwyn Jebb's occupation?,"[""diplomat"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",British diplomat and civil servant (notably acting UN Secretary-General and long-serving diplomat),0.95,1,1,0,0
91,2026-01-01 17:09:53,1334,25692,What is Dean Alfange's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.7321,1,1,0,0
92,2026-01-01 17:09:54,194634,42844,"What is Tyler, the Creator's occupation?","[""record producer"", ""music producer"", ""actor"", ""actress"", ""actors"", ""actresses"", ""graphic designer""]","Rapper, record producer, songwriter, music video director, and fashion designer (also entrepreneur)",0.89,1,1,0,0
93,2026-01-01 17:09:55,66,10855,What is Edwin E. Ellis's occupation?,"[""photographer"", ""photog"", ""photographers""]",Photographer and inventor,0.7083,1,1,0,0
94,2026-01-01 17:09:57,94,24952,What is Muhammad Ali Luqman's occupation?,"[""journalist"", ""journo"", ""journalists""]",Politician,0.57,0,0,1,0
95,2026-01-01 17:09:58,84,26544,What is Ivo Perilli's occupation?,"[""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]",Screenwriter,0.3462,1,1,0,0
96,2026-01-01 17:09:59,580,81374,What is Nathan Purdee's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.9,1,1,0,0
97,2026-01-01 17:10:01,1098,9714,What is Joseph Weydemeyer's occupation?,"[""journalist"", ""journo"", ""journalists"", ""revolutionary"", ""insurrectionist"", ""revolutionist"", ""revolutioner""]","German-American socialist, journalist, and military officer (Prussian military officer; later Union Army officer and Marxist journalist/organizer)",0.52,1,1,0,0
98,2026-01-01 17:10:03,994,16182,What is Ai's occupation?,"[""poet"", ""poetess"", ""bard""]",I don't have enough information to determine Ai's occupation.,0.25,0,0,1,1
99,2026-01-01 17:10:04,62,28389,What is Rinaldo del Mel's occupation?,"[""composer""]",Composer (Renaissance composer),0.74,1,1,0,0
100,2026-01-01 17:10:05,353,25692,"What is Francis Howard, 5th Baron Howard of Effingham's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",British peer and politician (member of the House of Lords),0.54,1,1,0,0
101,2026-01-01 17:10:07,109,25692,What is Luís Marques Guedes's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.889,1,1,0,0
102,2026-01-01 17:10:08,815,14886,What is Nigel Sheinwald's occupation?,"[""diplomat""]",Diplomat (British diplomat; former UK Ambassador to the United States and Foreign Office official),0.965,1,1,0,0
103,2026-01-01 17:10:10,2195,81374,What is Ge You's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Ge You is a Chinese actor.,0.98,1,1,0,0
104,2026-01-01 17:10:11,33,25692,What is Annie Beustes's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.563,1,1,0,0
105,2026-01-01 17:10:13,72,11213,What is Kazuyoshi Sekine's occupation?,"[""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter""]",Film director and producer,0.87,0,0,1,0
106,2026-01-01 17:10:14,1312,81374,What is Elisa Bridges's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""Playboy Playmate"", ""Playmate""]",Actress and model,0.56,1,1,0,0
107,2026-01-01 17:10:16,47,25692,What is Domingo Eyzaguirre's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.192,1,1,0,0
108,2026-01-01 17:10:18,154,17531,What is Karol Życzkowski's occupation?,"[""physicist"", ""mathematician""]",Mathematician (Polish mathematician and physicist; professor and researcher),0.79,1,1,0,0
109,2026-01-01 17:10:19,2104,81374,What is Joyce Tang's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.92,1,1,0,0
110,2026-01-01 17:10:21,370,11213,What is Suzanne Lilar's occupation?,"[""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter""]","Suzanne Lilar was a Belgian essayist, novelist and playwright (also noted as a literary critic and journalist).",0.83,1,1,0,0
111,2026-01-01 17:10:22,227,25692,What is Karen Redman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Canadian politician (former Member of Parliament and municipal politician),0.74,1,1,0,0
112,2026-01-01 17:10:24,303,28389,What is Jean-Yves Daniel-Lesur's occupation?,"[""composer"", ""organist"", ""organ player""]",He was a French composer (classical music composer) and organist/teacher.,0.671,1,1,0,0
113,2026-01-01 17:10:25,145,23111,What is Eduard Looijenga's occupation?,"[""mathematician""]",Mathematician,0.968,1,1,0,0
114,2026-01-01 17:10:26,744,48188,What is Petrus Camper's occupation?,"[""physician"", ""physicians"", ""medical doctor"", ""medical practitioner"", ""doctor"", ""medical doctors""]","Dutch anatomist, physician, and naturalist (also a professor and artist/illustrator)",0.88,1,1,0,0
115,2026-01-01 17:10:28,51,25692,What is Charles Harrison's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","I don't have enough information to determine which Charles Harrison you mean. Several notable people share that name with different occupations (e.g., a politician, musician, art historian, actor, etc.). Please provide more context (such as birth year, location, or a field) so I can give the correct occupation.",0.2,1,1,0,1
116,2026-01-01 17:10:29,179,81374,What is Pathit Pisitkul's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.82,1,1,0,0
117,2026-01-01 17:10:31,112,28389,What is Jacopo Melani's occupation?,"[""composer""]",He was an Italian composer (Baroque composer) and violinist/conductor.,0.6523,1,1,0,0
118,2026-01-01 17:10:33,258,25692,What is Jeremiah Smith's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","I’m not sure which Jeremiah Smith you mean; there are multiple notable people by that name (e.g., a Massachusetts judge, an English composer, and a fictional character). Please specify which Jeremiah Smith you’re asking about (or provide context such as a work, time period, or location), and I’ll give the occupation.",0.2,0,0,1,1
119,2026-01-01 17:10:34,80,28389,What is Richard Harris's occupation?,"[""composer""]",Actor (also singer and songwriter; formerly a rugby player),0.86,0,0,1,0
120,2026-01-01 17:10:37,369,25692,What is Peter W. Barca's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (member of the Democratic Party; U.S. state legislator and former U.S. Representative),0.96,1,1,0,0
121,2026-01-01 17:10:39,553,25692,"What is Harold Lever, Baron Lever of Manchester's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]","He was a British politician (Labour Party politician and Member of Parliament), later a life peer in the House of Lords; he also worked as a barrister and government minister.",0.92,1,1,0,0
122,2026-01-01 17:10:40,24,25692,What is Peter Murnoy's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Footballer,0.74,0,0,1,0
123,2026-01-01 17:10:42,961,6538,What is Spencer Williams's occupation?,"[""composer"", ""pianist""]","Actor, film director, and writer (American film-maker known for acting and directing, especially early African-American cinema)",0.6,0,0,1,0
124,2026-01-01 17:10:43,1047,24952,What is Richard Lui's occupation?,"[""journalist"", ""journo"", ""journalists""]",Journalist and news anchor (television journalist),0.8746,1,1,0,0
125,2026-01-01 17:10:43,285,81374,What is Charlotte von Hagn's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.81,1,1,0,0
126,2026-01-01 17:10:45,66,25692,What is James M. Geraghty's occupation?,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",American politician (He served as a lawyer and politician; notably a member of the Washington State Senate and King County prosecutor),0.32,1,1,0,0
127,2026-01-01 17:10:46,60,24351,What is Michael Hutchings's occupation?,"[""chef"", ""chef de cuisine""]",Chef (professional chef),0.72,1,1,0,0
128,2026-01-01 17:10:48,110,25692,What is Gideon Olin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.771,1,1,0,0
129,2026-01-01 17:10:49,685,6987,What is Cecil Aldin's occupation?,"[""illustrator""]","Cecil Aldin was an English artist and illustrator, best known as a painter and etcher of animals and rural scenes.",0.919,1,1,0,0
130,2026-01-01 17:10:50,15171,81374,What is Malcolm David Kelley's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor and singer,0.81,1,1,0,0
131,2026-01-01 17:10:52,87,25692,What is James Alex Msekela's occupation?,"[""diplomat"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.67,1,1,0,0
132,2026-01-01 17:10:53,3184,25692,What is Nancy Landon Kassebaum's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician (former U.S. Senator),0.9,1,1,0,0
