dataset_id,timestamp,s_pop,o_pop,question,possible_answers,first_answer,first_confidence,best_guess,best_guess_confidence,correct,score,idk_flag,false_answer_flag,self_confidence,api_confidence_min,api_confidence_avg
28,2026/3/8 15:30,152,8320,What is Thomas McMurtry's occupation?,"[""test pilot""]",I don't know,,Scientist,0.5,0,0,1,0,0.5,0.36619102069099674,0.6050723291647108
29,2026/3/8 15:30,322,43223,What is Albert Bates's occupation?,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers""]",I don't know,,Environmental activist,0.6,0,0,1,0,0.6,0.6989406803007362,0.8015184521489589
30,2026/3/8 15:30,1132,25550,What is Heath's occupation?,"[""songwriter"", ""song writer""]",,,Actor,0.5,0,0,1,0,0.5,0.33789307241425587,0.5812430742219464
31,2026/3/8 15:30,396,42844,What is Wise's occupation?,"[""record producer"", ""music producer""]",I don't know,,Financial technology company,0.75,0,0,1,0,0.75,0.9457511153793217,0.9627894032494693
32,2026/3/8 15:30,792,24952,What is Stevie Cameron's occupation?,"[""journalist"", ""journo"", ""journalists""]",Author and journalist,0.9,,,1,1,0,0,0.9,0.7506502376762533,0.916366127
33,2026/3/8 15:30,996,7223,What is Yoshiki Tonogai's occupation?,"[""mangaka"", ""manga artist""]",Manga artist,0.95,,,1,1,0,0,0.95,0.934527879,0.974265611
34,2026/3/8 15:30,1085,8848,What is Geeling Ng's occupation?,"[""restaurateur"", ""gastronomist"", ""restauranteur""]",I don't know,,Author,0.5,0,0,1,0,0.5,0.3271578343946532,0.5716706331422301
35,2026/3/8 15:30,91,28389,What is Bruce McDaniel's occupation?,"[""composer""]",I don't know,,Author,0.3,0,0,1,0,0.3,0.33353127288947143,0.5773619579044466
36,2026/3/8 15:30,162,25692,What is Thomas R. Whitney's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I don't know,,Author,0.5,0,0,1,0,0.5,0.8680483621621382,0.9312617464011793
37,2026/3/8 15:30,503,28889,What is William Lescaze's occupation?,"[""architect""]",Architect,0.95,,,1,1,0,0,0.95,0.9995436905956376,0.9997596857310843
38,2026/3/8 15:30,68,81374,What is Edwin Wallock's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",,,Author,0.3,0,0,1,0,0.3,0.4686808733252739,0.6845306770692425
39,2026/3/8 15:30,195,12368,What is Tsutomu Seki's occupation?,"[""astronomer""]",I don't know,,Author,0.5,0,0,1,0,0.5,0.16879575463606183,0.4107957595888749
40,2026/3/8 15:30,63,16672,What is Matthew McKay's occupation?,"[""dentist"", ""dentists"", ""dental surgeon""]",Psychologist and author,0.9,,,0,0,0,1,0.9,0.7308299788724428,0.8969760624400971
41,2026/3/8 15:30,97,7581,What is Dominick Bellizzi's occupation?,"[""jockey""]",,,Businessman,0.3,0,0,1,0,0.3,0.16612118174702156,0.5057585451598913
42,2026/3/8 15:30,510,48188,What is William Watson's occupation?,"[""physician"", ""physicians"", ""medical doctor"", ""medical practitioner"", ""doctor"", ""medical doctors""]",,,Author,0.3,0,0,1,0,0.3,0.7386894367239455,0.8593166646259058
43,2026/3/8 15:30,766,25550,What is Sarah Dawn Finer's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""songwriter"", ""song writer""]",Singer and songwriter,0.95,,,1,1,0,0,0.95,0.5491251235234469,0.8595851554117159
44,2026/3/8 15:30,2680,20148,What is Brendan Canty's occupation?,"[""composer"", ""musician"", ""musical artist""]",Musician,0.9,,,1,1,0,0,0.9,0.6394084659362375,0.8555168859825545
45,2026/3/8 15:30,839,81374,What is María Elena Marqués's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.95,,,1,1,0,0,0.95,0.9803878373187164,0.982219273
46,2026/3/8 15:30,1131,28889,What is Michael Arad's occupation?,"[""architect""]",Architect,0.95,,,1,1,0,0,0.95,0.9991578515342359,0.9994688364678372
47,2026/3/8 15:30,923,81374,What is Patrick O'Brien Demsey's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",,,Author,0.3,0,0,1,0,0.3,0.6020780762152684,0.7755690941287833
48,2026/3/8 15:30,61,25692,What is Ole Krarup's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",,,Politician,0.3,1,1,1,0,0.3,0.6792473577825082,0.8789104960001453
49,2026/3/8 15:30,75,28389,What is Antonio Álvarez Alonso's occupation?,"[""composer"", ""pianist""]",,,Politician,0.3,0,0,1,0,0.3,0.7639872568183962,0.914011812
50,2026/3/8 15:30,57,24952,What is Boutheina Jabnoun's occupation?,"[""journalist"", ""journo"", ""journalists""]",I don't know,,Researcher,0.5,0,0,1,0,0.5,0.28319300956144605,0.6563497527077888
