dataset_id,timestamp,s_pop,o_pop,question,possible_answers,answer,confidence,correct,score,false_answer_flag,idk_flag
88,2026-01-25 18:14:17,1397,5062,What is Christoph Schlingensief's occupation?,"[""theatrical director"", ""stage director"", ""theatre director"", ""play director"", ""director"", ""theater director""]",Filmmaker and artist,0.95,0,-1,1,0
89,2026-01-25 18:14:18,2107,11213,What is C. E. Webber's occupation?,"[""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter""]",Author,0.9,0,-1,1,0
90,2026-01-25 18:14:19,2793,25692,What is Gladwyn Jebb's occupation?,"[""diplomat"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Diplomat,0.95,1,1,0,0
91,2026-01-25 18:14:19,1334,25692,What is Dean Alfange's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician and lawyer,0.9,1,1,0,0
92,2026-01-25 18:14:20,194634,42844,"What is Tyler, the Creator's occupation?","[""record producer"", ""music producer"", ""actor"", ""actress"", ""actors"", ""actresses"", ""graphic designer""]","Rapper, producer, and fashion designer",0.98,0,-1,1,0
93,2026-01-25 18:14:21,66,10855,What is Edwin E. Ellis's occupation?,"[""photographer"", ""photog"", ""photographers""]",Author,0.9,0,-1,1,0
94,2026-01-25 18:14:22,94,24952,What is Muhammad Ali Luqman's occupation?,"[""journalist"", ""journo"", ""journalists""]",Muhammad Ali Luqman is a journalist.,0.85,1,1,0,0
95,2026-01-25 18:14:23,84,26544,What is Ivo Perilli's occupation?,"[""screenwriter"", ""scenarist"", ""writer"", ""screen writer"", ""script writer"", ""scriptwriter""]",Ivo Perilli is a professional poker player.,0.85,0,-1,1,0
96,2026-01-25 18:14:24,580,81374,What is Nathan Purdee's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.95,1,1,0,0
97,2026-01-25 18:14:25,1098,9714,What is Joseph Weydemeyer's occupation?,"[""journalist"", ""journo"", ""journalists"", ""revolutionary"", ""insurrectionist"", ""revolutionist"", ""revolutioner""]",Politician and military officer,0.95,0,-1,1,0
98,2026-01-25 18:14:26,994,16182,What is Ai's occupation?,"[""poet"", ""poetess"", ""bard""]",Ai's occupation is not specified in the question.,0.5,0,-1,1,0
99,2026-01-25 18:14:27,62,28389,What is Rinaldo del Mel's occupation?,"[""composer""]","Rinaldo del Mel is a fictional character, often depicted as a knight or warrior in various stories.",0.75,0,-1,1,0
100,2026-01-25 18:14:28,353,25692,"What is Francis Howard, 5th Baron Howard of Effingham's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.9,1,1,0,0
101,2026-01-25 18:14:29,109,25692,What is Luís Marques Guedes's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.9,1,1,0,0
102,2026-01-25 18:14:30,815,14886,What is Nigel Sheinwald's occupation?,"[""diplomat""]",Diplomat,0.95,1,1,0,0
103,2026-01-25 18:14:30,2195,81374,What is Ge You's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.9999,1,1,0,0
104,2026-01-25 18:14:31,33,25692,What is Annie Beustes's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Unknown,0.0,0,-1,1,1
105,2026-01-25 18:14:32,72,11213,What is Kazuyoshi Sekine's occupation?,"[""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter""]",Artist,0.95,0,-1,1,0
106,2026-01-25 18:14:33,1312,81374,What is Elisa Bridges's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses"", ""Playboy Playmate"", ""Playmate""]",Model,0.95,0,-1,1,0
107,2026-01-25 18:14:34,47,25692,What is Domingo Eyzaguirre's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.9,1,1,0,0
108,2026-01-25 18:14:35,154,17531,What is Karol Życzkowski's occupation?,"[""physicist"", ""mathematician""]",Mathematician,0.95,1,1,0,0
109,2026-01-25 18:14:36,2104,81374,What is Joyce Tang's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actress,0.95,1,1,0,0
110,2026-01-25 18:14:36,370,11213,What is Suzanne Lilar's occupation?,"[""playwright"", ""dramatist"", ""playwrite"", ""scriptwriter""]",Author,0.95,0,-1,1,0
111,2026-01-25 18:14:37,227,25692,What is Karen Redman's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.9,1,1,0,0
112,2026-01-25 18:14:38,303,28389,What is Jean-Yves Daniel-Lesur's occupation?,"[""composer"", ""organist"", ""organ player""]",Composer,0.95,1,1,0,0
113,2026-01-25 18:14:39,145,23111,What is Eduard Looijenga's occupation?,"[""mathematician""]",Mathematician,0.9,1,1,0,0
114,2026-01-25 18:14:40,744,48188,What is Petrus Camper's occupation?,"[""physician"", ""physicians"", ""medical doctor"", ""medical practitioner"", ""doctor"", ""medical doctors""]",Anatomist,0.95,0,-1,1,0
115,2026-01-25 18:14:41,51,25692,What is Charles Harrison's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Artist,0.9,0,-1,1,0
116,2026-01-25 18:14:42,179,81374,What is Pathit Pisitkul's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Pathit Pisitkul is a professional football player.,0.85,0,-1,1,0
117,2026-01-25 18:14:42,112,28389,What is Jacopo Melani's occupation?,"[""composer""]",Composer,0.95,1,1,0,0
118,2026-01-25 18:14:43,258,25692,What is Jeremiah Smith's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Unknown,0.0,0,-1,1,1
119,2026-01-25 18:14:47,80,28389,What is Richard Harris's occupation?,"[""composer""]",Actor,0.98,0,-1,1,0
120,2026-01-25 18:14:47,369,25692,What is Peter W. Barca's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.95,1,1,0,0
121,2026-01-25 18:14:48,553,25692,"What is Harold Lever, Baron Lever of Manchester's occupation?","[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.95,1,1,0,0
122,2026-01-25 18:14:49,24,25692,What is Peter Murnoy's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Unknown,0.0,0,-1,1,1
123,2026-01-25 18:14:50,961,6538,What is Spencer Williams's occupation?,"[""composer"", ""pianist""]",Actor,0.95,0,-1,1,0
124,2026-01-25 18:14:51,1047,24952,What is Richard Lui's occupation?,"[""journalist"", ""journo"", ""journalists""]",Journalist,0.95,1,1,0,0
125,2026-01-25 18:14:51,285,81374,What is Charlotte von Hagn's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Unknown,0.0,0,-1,1,1
126,2026-01-25 18:14:52,66,25692,What is James M. Geraghty's occupation?,"[""lawyer"", ""attorney"", ""solicitor"", ""barrister"", ""lawyers"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Author,0.9,0,-1,1,0
127,2026-01-25 18:14:53,60,24351,What is Michael Hutchings's occupation?,"[""chef"", ""chef de cuisine""]",Musician,0.95,0,-1,1,0
128,2026-01-25 18:14:54,110,25692,What is Gideon Olin's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I do not have information on Gideon Olin's occupation.,0.0,0,-1,1,0
129,2026-01-25 18:14:55,685,6987,What is Cecil Aldin's occupation?,"[""illustrator""]",Painter and illustrator,0.95,1,1,0,0
130,2026-01-25 18:14:56,15171,81374,What is Malcolm David Kelley's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Actor and musician,0.95,1,1,0,0
131,2026-01-25 18:14:57,87,25692,What is James Alex Msekela's occupation?,"[""diplomat"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",I do not have information on James Alex Msekela's occupation.,0.0,0,-1,1,0
132,2026-01-25 18:14:58,3184,25692,What is Nancy Landon Kassebaum's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.95,1,1,0,0
133,2026-01-25 18:14:59,3147,28389,What is Reinhold Mack's occupation?,"[""audio engineer"", ""recording engineer"", ""sound producer"", ""sound director"", ""sound engineer"", ""music engineer"", ""musical engineer"", ""record producer"", ""music producer"", ""composer""]",Music producer,0.95,1,1,0,0
134,2026-01-25 18:15:00,155,24952,What is Del Quentin Wilber's occupation?,"[""journalist"", ""journo"", ""journalists""]",Journalist,0.95,1,1,0,0
135,2026-01-25 18:15:01,201,23111,What is Pierre Pansu's occupation?,"[""mathematician""]",Mathematician,0.95,1,1,0,0
136,2026-01-25 18:15:02,199,11699,What is Larry Coon's occupation?,"[""computer scientist""]",Basketball analyst,0.95,0,-1,1,0
137,2026-01-25 18:15:03,78,25692,What is Masayoshi Nataniya's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician,0.95,1,1,0,0
138,2026-01-25 18:15:04,520,23111,What is Leonida Tonelli's occupation?,"[""mathematician""]",Mathematician,0.95,1,1,0,0
139,2026-01-25 18:15:05,1118,24952,What is Judith Rakers's occupation?,"[""journalist"", ""journo"", ""journalists"", ""television presenter"", ""host"", ""hostess"", ""TV host"", ""television host"", ""TV presenter"", ""TV anchor"", ""television anchor""]",Journalist and television presenter,0.95,1,1,0,0
140,2026-01-25 18:15:06,147,25692,What is Hiroyuki Arai's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Manga artist,0.95,0,-1,1,0
141,2026-01-25 18:15:07,61,24195,What is Ernst Timme's occupation?,"[""farmer"", ""agriculturist"", ""grower"", ""raiser"", ""cultivator"", ""agriculturer"", ""farmer (occupation)"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Scientist,0.85,0,-1,1,0
142,2026-01-25 18:15:08,126,25692,What is Bill Kintner's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Bill Kintner is a politician.,0.85,1,1,0,0
143,2026-01-25 18:15:09,271,14886,What is Francesco Vettori's occupation?,"[""diplomat""]",Poet,0.95,0,-1,1,0
144,2026-01-25 18:15:09,1610,81374,What is Melinda Mullins's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",Author,0.95,0,-1,1,0
145,2026-01-25 18:15:10,267,16182,What is Tachibana no Moroe's occupation?,"[""poet"", ""poetess"", ""bard""]",Poet,0.95,1,1,0,0
146,2026-01-25 18:15:11,1543,81374,What is Susan Kent's occupation?,"[""actor"", ""actress"", ""actors"", ""actresses""]",I do not have specific information about Susan Kent's occupation.,0.0,0,-1,1,0
147,2026-01-25 18:15:12,232,28389,What is Meyer Lutz's occupation?,"[""composer""]",Meyer Lutz is a composer.,0.85,1,1,0,0
148,2026-01-25 18:15:13,58,22447,What is Ludwig Lichtschein's occupation?,"[""rabbi"", ""Rav""]","Ludwig Lichtschein is a fictional character, and his occupation is not widely recognized. If you are referring to a specific context or work, please provide more details.",0.5,0,-1,1,0
149,2026-01-25 18:15:14,345519,58642,What is Will Smith's occupation?,"[""record producer"", ""music producer"", ""film director"", ""movie director"", ""director"", ""motion picture director"", ""film producer"", ""movie producer"", ""producer"", ""actor"", ""actress"", ""actors"", ""actresses""]",Actor,0.9999,1,1,0,0
150,2026-01-25 18:15:15,5299,25692,What is Marjorie Margolies-Mezvinsky's occupation?,"[""journalist"", ""journo"", ""journalists"", ""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Politician and former U.S. Representative,0.95,1,1,0,0
151,2026-01-25 18:15:17,21,10855,What is Władysław Sławny's occupation?,"[""photographer"", ""photog"", ""photographers""]",Władysław Sławny is a Polish artist and painter.,0.75,0,-1,1,0
152,2026-01-25 18:15:17,140,25692,What is Pierre Chatenet's occupation?,"[""politician"", ""political leader"", ""political figure"", ""polit."", ""pol""]",Unknown,0.5,0,-1,1,1
